age,job,marital,education,balance,contact,campaign,previous,poutcome,purchase_product,purchase_service
27,technician,single,secondary,17991,cellular,4,7,success,0,0
53,services,married,tertiary,8775,unknown,19,7,success,0,0
31,blue-collar,single,primary,10265,telephone,22,0,unknown,0,0
48,technician,married,tertiary,17459,unknown,19,7,failure,0,0
32,admin,married,primary,14673,telephone,6,1,success,0,0
25,services,divorced,tertiary,25056,telephone,27,5,unknown,0,0
31,management,married,secondary,4614,unknown,13,0,unknown,0,0
40,services,single,secondary,34020,telephone,11,4,failure,0,0
57,management,single,primary,5415,telephone,13,6,failure,0,1
38,services,married,tertiary,21155,unknown,13,9,failure,0,0
33,services,divorced,secondary,47430,telephone,28,0,failure,0,1
62,services,divorced,primary,41884,telephone,25,1,failure,1,1
35,management,single,primary,14964,telephone,22,6,success,0,1
64,management,divorced,secondary,35726,unknown,28,5,unknown,0,1
41,services,married,secondary,35044,cellular,20,2,success,0,0
43,technician,married,primary,35544,unknown,15,9,success,1,0
42,blue-collar,single,tertiary,47976,cellular,21,1,success,0,0
62,blue-collar,married,tertiary,30252,telephone,13,9,success,1,0
58,blue-collar,single,tertiary,1832,cellular,22,3,success,0,1
46,management,married,primary,23275,unknown,11,2,failure,0,1
32,management,single,secondary,12901,unknown,19,6,failure,1,1
62,technician,divorced,primary,36213,telephone,8,7,unknown,0,0
18,blue-collar,married,secondary,32148,cellular,20,1,success,0,1
42,blue-collar,married,tertiary,40633,telephone,8,9,unknown,1,0
24,services,single,tertiary,20918,telephone,10,6,failure,1,0
26,management,single,secondary,44694,unknown,26,7,failure,0,0
41,blue-collar,married,secondary,17540,cellular,16,5,failure,0,1
18,technician,single,primary,9580,cellular,19,5,success,1,0
61,technician,married,tertiary,36402,cellular,26,9,success,0,1
25,blue-collar,divorced,primary,36578,cellular,23,0,failure,1,1
41,management,single,primary,22917,telephone,11,3,unknown,0,1
28,technician,married,primary,20318,telephone,13,0,unknown,0,0
34,services,divorced,tertiary,8179,unknown,28,3,failure,1,1
25,technician,divorced,primary,10251,telephone,9,1,unknown,0,1
52,admin,married,primary,43899,telephone,20,4,failure,0,0
52,admin,single,primary,17493,unknown,24,9,unknown,0,0
50,management,married,primary,18466,unknown,19,8,failure,0,0
22,blue-collar,divorced,primary,28206,unknown,16,9,unknown,0,0
59,management,married,primary,43475,telephone,7,2,success,1,0
56,management,single,tertiary,17624,telephone,19,7,failure,0,1
58,management,divorced,primary,24564,unknown,12,2,failure,0,0
45,management,married,secondary,20412,unknown,15,5,unknown,1,0
24,services,single,primary,25990,unknown,23,3,failure,0,1
26,services,divorced,primary,49001,telephone,14,7,failure,0,0
25,technician,single,tertiary,33517,telephone,11,5,failure,0,1
29,admin,divorced,tertiary,11156,cellular,26,7,success,1,0
51,management,married,secondary,21064,telephone,10,0,success,0,0
50,technician,single,secondary,23711,telephone,27,5,unknown,0,0
40,admin,divorced,tertiary,28106,telephone,11,0,success,0,0
41,blue-collar,single,tertiary,14589,unknown,6,0,unknown,0,0
54,services,single,primary,21736,telephone,2,7,success,0,1
52,admin,married,tertiary,18975,unknown,11,6,unknown,0,0
61,blue-collar,single,secondary,34218,cellular,19,2,success,0,1
57,admin,divorced,primary,5214,cellular,6,5,success,1,0
39,services,divorced,secondary,28581,unknown,14,8,unknown,0,0
44,services,divorced,primary,18195,unknown,20,6,failure,0,1
52,technician,divorced,tertiary,42582,unknown,6,2,failure,0,0
18,management,married,secondary,25127,telephone,17,5,success,0,1
52,admin,single,primary,3141,cellular,10,3,unknown,0,1
54,admin,married,primary,26884,unknown,28,2,failure,0,1
64,blue-collar,single,tertiary,22885,telephone,1,8,unknown,0,0
31,services,single,tertiary,708,cellular,3,9,failure,1,0
20,admin,single,tertiary,16375,telephone,8,1,unknown,0,1
18,services,married,secondary,13088,cellular,8,0,success,0,1
22,admin,single,primary,42602,telephone,27,1,unknown,0,0
43,technician,married,tertiary,43046,cellular,20,6,failure,0,0
31,management,divorced,secondary,8014,cellular,22,9,success,0,0
56,admin,divorced,secondary,1273,telephone,15,0,unknown,0,0
44,services,single,secondary,45135,unknown,24,5,failure,0,0
26,technician,married,tertiary,35306,cellular,7,6,success,1,0
32,admin,divorced,tertiary,28881,unknown,11,8,unknown,0,1
32,blue-collar,married,primary,29486,telephone,7,7,failure,0,1
43,management,married,primary,10541,unknown,29,5,unknown,0,1
59,admin,single,tertiary,6712,unknown,4,2,unknown,0,0
30,technician,divorced,secondary,7168,unknown,25,7,success,0,0
49,blue-collar,single,secondary,1551,unknown,12,6,success,1,1
56,technician,single,secondary,10297,unknown,26,2,failure,0,1
49,technician,divorced,primary,41733,cellular,6,8,success,1,1
21,blue-collar,divorced,secondary,25128,cellular,14,1,failure,1,1
47,technician,married,primary,832,cellular,12,2,unknown,0,0
54,blue-collar,divorced,primary,26483,telephone,11,1,unknown,0,1
40,admin,married,secondary,20063,unknown,19,0,failure,0,0
56,blue-collar,married,secondary,20963,cellular,21,3,unknown,0,0
62,blue-collar,married,tertiary,11422,telephone,5,4,success,1,1
32,management,divorced,tertiary,30920,cellular,14,5,unknown,0,0
60,blue-collar,single,secondary,9156,cellular,21,4,success,1,0
46,blue-collar,married,primary,9108,unknown,24,0,failure,0,0
53,admin,single,primary,29845,telephone,16,2,failure,1,0
30,management,single,primary,800,unknown,25,0,unknown,1,1
49,services,divorced,primary,36078,unknown,13,4,unknown,0,0
24,admin,single,primary,40712,cellular,25,4,success,0,0
39,admin,single,tertiary,610,unknown,29,5,success,0,0
45,services,divorced,secondary,10067,telephone,22,7,unknown,1,0
19,blue-collar,married,tertiary,31872,unknown,22,9,unknown,1,0
59,technician,single,primary,8728,unknown,25,0,failure,1,1
62,management,divorced,primary,27566,unknown,20,3,failure,0,0
23,technician,single,primary,27783,cellular,22,9,failure,0,1
45,services,single,primary,18583,telephone,4,0,unknown,1,1
45,admin,married,secondary,18238,cellular,11,8,unknown,0,1
61,admin,single,primary,5263,cellular,17,6,unknown,1,0
61,management,divorced,secondary,-86,cellular,7,6,failure,0,0
37,admin,single,primary,21749,cellular,14,4,unknown,0,1
47,admin,married,secondary,17456,cellular,26,6,success,0,0
28,management,married,tertiary,23582,telephone,11,1,unknown,0,1
45,management,divorced,primary,-1594,unknown,28,3,unknown,0,1
42,services,married,secondary,11689,cellular,22,6,unknown,0,1
56,admin,single,tertiary,30934,cellular,9,2,unknown,0,1
50,admin,married,primary,31276,telephone,23,1,unknown,0,0
18,services,divorced,primary,48813,telephone,13,9,success,0,0
44,blue-collar,married,primary,34432,unknown,23,1,success,1,1
30,blue-collar,married,secondary,17873,telephone,18,0,unknown,1,0
58,blue-collar,married,secondary,11050,unknown,28,4,failure,1,0
20,services,divorced,tertiary,-1320,cellular,11,5,unknown,1,1
56,admin,married,secondary,16908,cellular,15,5,unknown,0,0
23,services,married,secondary,16504,unknown,25,8,unknown,0,1
25,services,single,primary,19644,telephone,26,3,failure,0,1
44,blue-collar,divorced,primary,35125,unknown,25,0,failure,1,0
26,technician,married,primary,-637,telephone,22,5,failure,0,1
54,admin,divorced,primary,40291,cellular,29,4,success,0,1
50,blue-collar,married,primary,33060,telephone,19,9,failure,1,1
59,technician,married,primary,-462,unknown,1,5,success,0,0
61,technician,married,primary,34176,unknown,4,2,success,0,0
41,management,single,tertiary,39520,cellular,14,1,failure,0,1
32,admin,single,tertiary,23675,telephone,14,5,failure,0,0
49,technician,single,tertiary,16287,telephone,3,0,failure,0,0
49,blue-collar,divorced,tertiary,-1826,telephone,28,6,success,0,1
41,management,divorced,primary,24732,cellular,17,6,unknown,0,0
58,admin,single,tertiary,32998,telephone,3,9,failure,0,0
29,services,divorced,primary,35055,unknown,16,6,failure,1,0
56,blue-collar,married,tertiary,10112,telephone,14,9,failure,1,0
19,technician,married,secondary,37874,cellular,20,0,success,0,1
20,technician,married,tertiary,7689,telephone,29,3,success,1,0
54,blue-collar,single,tertiary,42814,telephone,13,6,unknown,0,0
34,technician,divorced,primary,17555,unknown,15,8,failure,0,1
19,management,single,tertiary,48719,telephone,14,4,success,0,1
19,admin,divorced,secondary,31919,unknown,24,1,unknown,0,1
45,management,married,primary,5619,unknown,25,6,failure,0,0
40,technician,single,primary,4033,cellular,19,9,success,0,0
54,services,divorced,tertiary,39328,unknown,6,0,failure,0,1
49,admin,divorced,primary,2946,unknown,10,6,failure,1,0
50,admin,married,primary,22618,cellular,27,5,success,0,1
18,blue-collar,single,primary,32675,unknown,15,6,success,0,0
36,blue-collar,single,primary,34258,cellular,21,9,success,0,0
19,services,single,primary,16919,telephone,22,2,failure,0,1
61,admin,married,primary,2173,cellular,20,2,failure,0,1
43,services,single,secondary,41833,unknown,26,6,unknown,0,1
49,blue-collar,married,tertiary,24400,cellular,6,1,failure,0,0
23,blue-collar,married,secondary,48445,unknown,23,0,success,1,0
49,admin,married,primary,2769,telephone,25,8,failure,0,0
21,management,divorced,primary,35564,cellular,10,8,unknown,1,0
28,technician,single,tertiary,43814,telephone,7,6,unknown,0,0
34,blue-collar,single,secondary,12211,unknown,22,6,success,0,0
55,blue-collar,married,tertiary,21255,unknown,17,2,success,0,0
41,management,married,secondary,25962,telephone,18,9,unknown,0,1
22,management,single,primary,17356,cellular,17,1,unknown,0,1
51,services,married,tertiary,18306,cellular,9,6,unknown,0,1
23,services,single,tertiary,2997,unknown,10,8,success,1,0
39,technician,divorced,primary,15376,telephone,10,0,unknown,1,1
28,technician,married,tertiary,38880,telephone,25,3,unknown,0,0
33,admin,single,secondary,36055,cellular,7,5,success,0,0
50,services,married,secondary,8578,cellular,16,6,failure,0,1
26,blue-collar,single,secondary,16624,cellular,29,9,failure,0,0
23,services,single,secondary,48628,telephone,18,6,unknown,1,0
33,blue-collar,married,primary,37194,cellular,6,9,failure,1,0
46,management,divorced,tertiary,42367,cellular,27,1,failure,1,0
20,services,single,secondary,-1611,unknown,20,3,failure,0,1
37,management,single,primary,31767,cellular,1,4,failure,0,1
53,technician,single,tertiary,43580,cellular,1,0,unknown,0,1
36,technician,divorced,tertiary,46367,telephone,12,0,failure,1,0
43,admin,divorced,primary,-145,telephone,21,9,failure,0,1
20,services,married,primary,38893,unknown,28,2,success,0,0
36,management,divorced,secondary,11794,cellular,2,9,unknown,0,0
37,blue-collar,married,tertiary,33531,unknown,4,2,success,1,1
49,technician,married,tertiary,2986,telephone,17,7,success,0,0
24,technician,divorced,primary,30298,unknown,4,8,unknown,0,1
58,blue-collar,married,tertiary,-519,telephone,11,0,failure,1,0
50,management,divorced,secondary,1731,unknown,22,1,success,1,1
57,management,married,tertiary,14835,unknown,26,9,unknown,0,1
56,services,divorced,primary,25798,cellular,4,1,failure,0,0
35,services,divorced,primary,24113,unknown,1,3,unknown,1,0
57,admin,married,secondary,17477,cellular,7,1,success,1,1
18,technician,single,secondary,15266,cellular,18,6,failure,0,0
28,services,married,tertiary,18792,cellular,9,8,failure,0,0
45,management,divorced,tertiary,18452,cellular,29,6,unknown,0,1
42,blue-collar,single,primary,41526,unknown,3,5,failure,1,0
40,management,married,secondary,47079,telephone,8,9,success,0,1
48,technician,married,secondary,39334,telephone,29,0,success,0,0
47,management,married,secondary,9889,telephone,24,9,success,0,0
59,admin,single,tertiary,22335,unknown,19,8,unknown,1,1
52,technician,divorced,secondary,9254,cellular,4,4,failure,0,0
24,blue-collar,married,primary,19074,telephone,18,4,failure,0,0
33,admin,married,primary,9442,unknown,20,5,failure,0,0
43,technician,married,tertiary,44289,cellular,27,8,success,0,0
19,blue-collar,married,tertiary,35327,telephone,11,7,failure,0,0
18,admin,married,secondary,14199,cellular,27,7,success,1,0
29,admin,divorced,tertiary,5291,telephone,14,7,failure,0,0
22,technician,divorced,primary,38928,telephone,25,0,success,1,0
54,services,married,secondary,-1888,telephone,18,0,failure,0,1
49,admin,single,primary,19515,cellular,28,7,unknown,0,1
26,admin,divorced,secondary,17581,unknown,28,4,unknown,0,0
58,blue-collar,single,tertiary,46692,cellular,29,8,success,0,1
52,management,divorced,secondary,24500,telephone,16,1,success,0,1
36,technician,married,secondary,30026,cellular,3,8,failure,1,0
33,technician,divorced,primary,14523,unknown,15,7,failure,1,1
20,services,married,primary,-576,cellular,27,8,unknown,0,0
37,services,divorced,secondary,17552,unknown,27,3,failure,1,1
41,technician,married,tertiary,8808,unknown,4,0,success,0,0
50,services,married,tertiary,36811,cellular,5,0,success,1,0
41,blue-collar,married,primary,4989,telephone,17,4,success,0,1
28,technician,married,tertiary,21620,unknown,7,1,success,0,0
25,services,single,primary,37029,cellular,16,7,success,1,0
53,technician,married,tertiary,-1113,unknown,14,9,unknown,0,0
55,management,single,secondary,29802,telephone,26,4,unknown,0,0
57,admin,single,primary,17488,cellular,16,4,success,0,1
37,technician,married,primary,28013,cellular,7,1,failure,0,1
52,admin,single,secondary,47201,cellular,9,6,success,1,0
42,services,divorced,primary,14402,telephone,4,7,unknown,0,0
52,admin,married,tertiary,19205,unknown,22,9,success,1,1
42,technician,single,tertiary,24049,cellular,11,0,unknown,0,0
46,management,married,primary,10253,unknown,2,1,unknown,0,1
35,services,married,tertiary,16990,unknown,12,9,success,1,0
63,technician,married,primary,5846,telephone,12,3,success,0,0
35,services,single,secondary,23027,cellular,4,4,failure,1,0
19,blue-collar,divorced,primary,37200,unknown,18,1,unknown,0,0
52,admin,divorced,secondary,44220,cellular,26,0,failure,0,0
33,blue-collar,single,tertiary,44163,cellular,21,8,success,0,0
58,technician,married,secondary,1765,telephone,7,0,unknown,0,0
53,management,single,tertiary,49590,cellular,29,3,failure,0,0
50,services,single,primary,13950,cellular,1,1,failure,1,0
21,admin,single,tertiary,43270,unknown,26,3,failure,0,0
50,services,married,primary,7741,telephone,26,7,success,0,0
31,technician,single,primary,20742,cellular,23,7,success,0,0
38,services,married,secondary,22703,unknown,26,8,success,0,0
37,admin,single,secondary,36709,telephone,13,4,unknown,0,1
25,technician,divorced,secondary,35623,telephone,6,6,success,1,1
24,services,single,secondary,20931,unknown,6,2,unknown,1,0
20,management,single,tertiary,21580,unknown,12,9,failure,1,0
34,technician,divorced,tertiary,13166,unknown,8,3,failure,1,0
50,technician,married,tertiary,49913,unknown,24,9,success,0,1
29,management,married,primary,27240,unknown,22,8,failure,1,0
39,blue-collar,single,tertiary,23991,cellular,19,9,success,0,0
39,admin,divorced,tertiary,36556,cellular,5,9,unknown,0,1
63,blue-collar,married,tertiary,30969,telephone,18,0,failure,0,0
47,services,single,secondary,8561,cellular,5,1,success,0,0
55,management,divorced,tertiary,14901,cellular,25,4,failure,1,0
55,blue-collar,married,primary,38505,cellular,10,2,failure,0,1
62,technician,married,secondary,28020,unknown,1,1,success,1,0
25,services,divorced,primary,23917,telephone,10,0,failure,0,1
44,services,divorced,tertiary,-12,telephone,5,9,failure,0,1
44,blue-collar,divorced,secondary,46209,telephone,12,2,failure,1,0
51,blue-collar,divorced,primary,42505,telephone,22,0,failure,0,0
38,management,single,tertiary,12256,cellular,27,0,unknown,0,0
47,admin,divorced,primary,20192,cellular,7,0,failure,0,1
50,blue-collar,married,primary,26230,unknown,9,7,failure,0,1
45,blue-collar,married,primary,37930,telephone,22,2,success,0,0
64,technician,single,tertiary,43833,cellular,21,0,unknown,0,1
50,services,married,tertiary,20625,cellular,12,6,success,1,0
22,admin,married,primary,30088,unknown,23,9,success,1,0
36,technician,divorced,secondary,12114,unknown,29,2,success,1,1
21,management,married,secondary,39167,unknown,1,7,unknown,1,1
52,management,single,tertiary,36401,cellular,11,3,success,0,0
34,blue-collar,divorced,tertiary,3755,cellular,21,3,success,0,1
61,blue-collar,divorced,tertiary,8825,unknown,15,4,success,0,1
45,management,single,tertiary,20693,telephone,2,5,failure,0,1
47,blue-collar,divorced,tertiary,2117,unknown,20,6,success,1,1
46,admin,divorced,secondary,22729,unknown,7,3,unknown,0,1
63,blue-collar,single,tertiary,30182,unknown,21,7,unknown,0,0
23,services,divorced,primary,26890,unknown,12,5,failure,0,1
52,blue-collar,single,primary,27340,cellular,22,0,unknown,0,0
58,technician,single,secondary,-482,telephone,18,0,unknown,0,1
54,admin,married,primary,28949,unknown,3,8,failure,0,0
41,technician,married,secondary,20547,telephone,7,9,success,0,1
46,technician,divorced,secondary,14346,telephone,11,5,failure,0,0
63,services,divorced,primary,600,telephone,18,9,success,0,0
48,admin,single,tertiary,44005,unknown,12,7,success,0,0
52,admin,divorced,primary,49347,cellular,6,6,unknown,1,1
50,admin,single,primary,27267,unknown,5,5,failure,0,1
38,admin,single,secondary,34322,telephone,26,3,unknown,0,0
49,admin,divorced,primary,24990,telephone,1,6,unknown,1,1
40,services,single,secondary,14193,cellular,12,8,success,0,1
50,blue-collar,married,tertiary,28109,unknown,27,9,unknown,1,1
20,technician,divorced,tertiary,17233,telephone,26,9,failure,1,0
35,admin,married,tertiary,46021,cellular,11,6,unknown,0,1
42,blue-collar,divorced,primary,14194,telephone,4,0,unknown,1,0
59,blue-collar,single,secondary,32510,cellular,27,9,success,1,1
48,technician,divorced,tertiary,-694,cellular,18,8,failure,0,1
20,services,married,secondary,1849,unknown,4,3,unknown,0,1
57,management,single,secondary,10360,telephone,17,2,success,1,1
63,management,divorced,tertiary,43536,unknown,2,3,unknown,1,0
41,blue-collar,divorced,tertiary,27231,telephone,29,3,failure,0,0
49,technician,divorced,secondary,43800,unknown,24,9,unknown,0,0
64,management,married,tertiary,34963,telephone,22,1,unknown,1,0
39,blue-collar,married,secondary,49707,unknown,2,0,success,0,0
40,services,divorced,secondary,16689,cellular,12,9,unknown,0,1
19,management,single,tertiary,27084,telephone,6,0,success,1,1
44,blue-collar,single,primary,38387,telephone,10,7,failure,0,0
59,blue-collar,married,tertiary,7280,cellular,25,1,unknown,0,0
19,admin,single,primary,642,unknown,23,9,failure,1,0
43,services,married,secondary,40137,telephone,25,4,failure,1,0
34,admin,divorced,secondary,12296,telephone,21,3,unknown,0,0
57,technician,married,primary,13438,unknown,23,7,success,0,1
50,admin,married,secondary,46442,cellular,27,1,failure,0,0
26,admin,divorced,primary,35525,unknown,16,9,failure,1,1
60,management,single,primary,994,unknown,14,8,unknown,0,0
56,blue-collar,married,secondary,45994,unknown,7,6,unknown,0,1
46,services,married,primary,32039,telephone,28,6,unknown,0,1
59,admin,divorced,tertiary,-187,cellular,28,0,unknown,1,1
43,services,single,tertiary,25491,cellular,19,1,unknown,0,1
52,admin,married,secondary,16845,unknown,23,3,unknown,0,1
42,technician,divorced,secondary,39243,telephone,17,3,success,0,1
41,admin,married,primary,35164,unknown,9,2,failure,1,1
30,management,divorced,primary,40051,telephone,26,6,success,0,0
24,blue-collar,single,primary,11318,telephone,13,7,success,0,0
53,technician,single,primary,15200,telephone,22,1,unknown,0,0
62,admin,single,tertiary,-1918,telephone,5,3,failure,1,1
37,services,single,tertiary,-80,cellular,23,2,success,0,0
18,technician,married,secondary,38585,telephone,5,1,unknown,0,1
25,technician,married,primary,9683,telephone,10,5,unknown,0,1
63,admin,single,primary,9336,unknown,21,3,failure,1,0
33,technician,single,secondary,13596,unknown,27,5,success,0,0
31,services,single,primary,93,cellular,10,1,success,1,1
29,technician,married,primary,10905,unknown,27,3,success,1,0
40,services,single,primary,22351,telephone,7,5,unknown,0,1
32,admin,single,primary,28981,unknown,26,4,failure,0,0
45,blue-collar,single,primary,6367,cellular,15,2,failure,0,1
51,technician,divorced,secondary,3285,unknown,7,7,success,0,0
19,blue-collar,single,primary,41664,unknown,29,6,unknown,0,1
49,services,divorced,secondary,35705,cellular,27,2,success,0,0
40,technician,divorced,primary,14753,cellular,15,5,failure,1,0
39,management,single,tertiary,48970,telephone,3,3,unknown,0,0
42,blue-collar,divorced,tertiary,16485,unknown,19,4,success,1,0
39,technician,single,tertiary,10977,telephone,10,4,success,0,1
39,blue-collar,married,tertiary,17874,unknown,28,6,unknown,0,1
59,technician,married,secondary,48931,unknown,29,4,failure,1,0
23,admin,married,secondary,5674,telephone,15,2,unknown,0,0
32,blue-collar,married,primary,48516,unknown,3,9,success,1,0
60,management,divorced,tertiary,27038,unknown,6,4,success,0,1
54,management,single,secondary,27315,unknown,12,6,success,0,1
50,services,single,primary,1676,cellular,15,4,success,1,0
25,technician,single,primary,426,telephone,6,4,failure,0,1
61,blue-collar,married,secondary,22473,cellular,13,8,failure,0,1
61,services,married,tertiary,962,telephone,29,2,success,1,1
22,blue-collar,single,primary,27943,telephone,19,5,failure,0,1
56,technician,married,tertiary,-1141,unknown,3,0,failure,1,1
21,management,single,tertiary,42816,telephone,8,9,failure,1,1
23,admin,single,tertiary,2138,cellular,8,4,success,1,0
62,management,single,primary,33192,cellular,23,7,unknown,0,1
49,services,single,tertiary,23640,cellular,26,4,unknown,0,0
47,admin,single,primary,8409,telephone,20,8,unknown,1,0
64,services,single,tertiary,2017,cellular,15,5,success,0,0
52,technician,single,primary,8451,telephone,4,7,failure,0,1
57,admin,married,tertiary,26327,cellular,19,9,failure,0,0
33,services,single,secondary,8278,cellular,21,7,success,0,0
30,technician,single,tertiary,22944,telephone,3,2,success,1,0
59,management,married,tertiary,41764,cellular,13,6,unknown,1,0
47,technician,married,primary,-866,unknown,8,6,unknown,0,0
36,blue-collar,married,primary,28131,telephone,23,9,success,0,1
34,technician,single,tertiary,35887,telephone,16,5,unknown,1,1
36,technician,divorced,secondary,36462,telephone,13,6,failure,0,0
45,blue-collar,divorced,secondary,20520,unknown,3,1,success,1,1
43,services,married,primary,19869,telephone,16,8,success,0,1
54,services,divorced,secondary,34932,cellular,9,9,failure,0,0
43,technician,married,tertiary,49498,cellular,28,9,failure,0,1
40,blue-collar,single,primary,3039,cellular,14,0,failure,1,1
26,blue-collar,divorced,tertiary,19281,telephone,13,0,unknown,0,0
29,management,single,primary,45399,cellular,21,2,success,0,0
18,services,divorced,primary,8442,telephone,25,2,unknown,0,1
18,admin,single,primary,6252,cellular,7,0,failure,1,1
64,services,divorced,primary,25586,unknown,15,6,unknown,1,0
51,services,single,secondary,48489,unknown,7,3,failure,0,0
49,management,single,tertiary,15568,unknown,6,9,unknown,0,0
42,admin,divorced,tertiary,18810,unknown,2,1,unknown,0,1
57,management,single,tertiary,-449,telephone,9,9,failure,0,0
62,admin,single,primary,10625,cellular,22,4,unknown,0,0
18,technician,single,secondary,32397,unknown,24,5,success,0,1
33,admin,divorced,tertiary,48678,telephone,17,8,unknown,0,0
56,management,divorced,secondary,24249,unknown,5,3,unknown,0,0
22,services,single,primary,-639,unknown,12,1,success,0,0
39,admin,single,tertiary,24149,telephone,1,4,failure,1,1
46,admin,divorced,secondary,2370,telephone,10,2,success,0,0
20,blue-collar,divorced,primary,3283,cellular,11,1,unknown,0,1
29,services,single,secondary,5610,cellular,16,0,failure,0,0
43,technician,single,tertiary,41326,unknown,14,9,unknown,0,0
33,management,single,tertiary,12924,unknown,8,1,unknown,0,0
54,technician,married,primary,45607,cellular,24,5,success,1,0
39,services,divorced,primary,42717,cellular,17,7,success,0,1
46,admin,married,primary,8626,telephone,25,2,failure,0,0
31,admin,divorced,secondary,32761,cellular,18,8,failure,0,1
45,services,divorced,secondary,-1131,cellular,12,8,failure,1,0
22,admin,divorced,secondary,29552,unknown,25,1,unknown,0,1
64,admin,divorced,primary,-986,cellular,17,7,success,0,1
47,admin,divorced,tertiary,8103,unknown,28,9,success,0,1
63,management,divorced,tertiary,14986,cellular,26,4,success,0,0
22,management,divorced,secondary,42781,telephone,14,3,failure,1,0
29,blue-collar,married,secondary,28471,cellular,16,9,success,1,0
33,technician,single,tertiary,31458,cellular,14,4,success,0,1
